,age,height,gender,birthdate
NPAWJKYKVQ,36.0,153.0,female,1970-09-10
AWEXTEXSLI,21.0,183.0,female,1971-01-21
OYPVEBYOIY,22.0,181.0,F,1972-02-23
WWOPEPUERQ,30.0,167.0,male,1974-01-12
LKEHZFGGTS,49.0,177.0,,1974-05-01
DFEDPZYBIP,27.0,159.0,female,1975-09-20
YEBLYRMEFY,20.0,182.0,male,1978-04-24
UCVCUJSUCB,19.0,177.0,female,1981-10-07
UMIYRFVIVM,38.0,160.0,female,1982-03-06
MEZCXAHTXR,27.0,169.0,male,1984-12-10
QZWPZXYXGY,24.0,204.0,female,1986-06-06
EBTRPEDHJS,43.0,147.0,,1988-02-20
RPSASMUQTA,27.0,174.0,female,1991-10-17
VYIYVAVHOY,25.0,119.0,female,1996-11-03
TLIOKAKNFC,18.0,175.0,male,1997-04-11
WDHBBOFEJF,36.0,201.0,male,1997-04-20
PFOFRAUAGF,43.0,182.0,female,1940-01-30
BDFQWIHWCH,27.0,167.0,,1943-12-24
NUCCGRJLXN,20.0,159.0,,1945-11-11
GRDIRFSNWS,25.0,155.0,male,1946-04-10
JGFKBBODPK,19.0,167.0,male,1951-02-15
RATQQOKMRT,24.0,173.0,female,1959-02-24
PARLUBDFRN,51.0,171.0,male,1960-03-13
JHFDBYPDRJ,41.0,163.0,female,1960-07-28
YKFVBOPVAI,62.0,172.0,female,1963-06-11
YYKBAZJHJV,25.0,148.0,m,1966-10-27
RCEOFZSPZP,28.0,180.0,female,1968-09-30
CKDLZGQDOM,36.0,159.0,female,1969-01-10
KDHLJFDSHE,28.0,166.0,female,1972-05-28
GQSNBZIGBL,27.0,197.0,,1974-10-31
SQYVEHAWSW,224.0,166.0,male,1976-01-22
HKQUPCHBVV,30.0,168.0,female,1981-03-21
FMQRBMVUAD,21.0,152.0,MALE,1982-01-26
NEORCKDFSF,32.0,136.0,male,1983-01-05
AKRJSZJKFU,57.0,199.0,MALE,1984-02-26
BFQAKPKTBM,18.0,170.0,female,1984-12-26
IVJYXRYXXO,30.0,160.0,female,1986-02-12
NGJOHICWSY,41.0,,male,1989-01-29
OLHYEOLRBH,1.0,168.0,female,1989-11-11
TOPVMDQZHJ,36.0,165.0,female,1990-10-22
UAOAMGUQSX,,144.0,male,1995-11-30
EVZTNNZPBL,27.0,166.0,female,1941-03-13
JMXBVBWMSH,22.0,151.0,female,1941-09-27
HPWGYKDMYV,18.0,188.0,male,1947-03-14
EKYAHFVIWF,20.0,197.0,female,1952-11-22
KGXLFKARUU,27.0,171.0,male,1953-07-21
CMUMCYQATR,32.0,175.0,male,1956-05-16
TRMMGYEEPC,21.0,156.0,female,1957-03-12
BYSQMHPTRK,19.0,152.0,male,1964-07-31
KZESGNLGIK,40.0,156.0,female,1966-01-16
VLDXKLDZOU,18.0,160.0,female,1968-07-20
IMSEAEWZMI,35.0,196.0,male,1969-02-21
VLSZBAAEUE,44.0,158.0,female,1969-12-29
INUNLIQCON,31.0,177.0,female,1970-11-28
VRZCUSXCRR,21.0,149.0,female,1971-03-30
TXHIZFFSNJ,26.0,147.0,MALE,1974-02-15
SXQBADMMUE,18.0,190.0,female,1981-02-09
ZCDZIMQBQB,37.0,167.0,female,1983-08-30
MFTNYMOKTF,72.0,141.0,female,1984-05-05
WOQLHWGEEH,27.0,177.0,female,1984-09-08
LNLAPFIJEQ,37.0,,male,1985-01-12
UNBLQMPEQB,43.0,136.0,female,1991-07-22
IPCUWRDGRY,29.0,181.0,male,1991-10-24
GMVBEAWDQF,1.0,182.0,female,1996-07-22
EEYUJBHFID,22.0,157.0,female,1998-08-04
WVHMXSSWTH,20.0,176.0,female,1998-08-20
MAOKTWGRDA,35.0,155.0,female,1940-06-11
WNHJTUEOLB,18.0,149.0,female,1941-10-20
WDPLKJGDRV,30.0,190.0,female,1942-06-03
CNJREDMJAX,21.0,176.0,male,1946-02-13
HGDAGTQXSY,20.0,196.0,female,1949-12-28
PSTHSJMXLE,45.0,158.0,female,1950-02-05
DCJQKAWQPU,87.0,168.0,female,1950-06-25
HGQKNCFHYL,48.0,168.0,female,1950-07-11
ZJMKLQKSSI,40.0,162.0,male,1953-12-20
XYBJKEEZCD,32.0,165.0,female,1955-06-03
JFVZOEGUUA,,208.0,female,1956-08-02
RPXMEBIHPC,32.0,119.0,male,1956-09-01
VAAASSBFZZ,32.0,159.0,female,1957-08-22
MEZECQSEKH,22.0,152.0,MALE,1959-06-15
WEXZIIFKQC,20.0,189.0,male,1969-01-04
TDULGLVLMY,32.0,154.0,female,1974-01-08
WNNDMNUVIA,22.0,177.0,male,1976-01-29
DPXEBQRJEO,109.0,162.0,female,1981-12-15
WTWLZNEVPA,26.0,131.0,female,1984-03-11
PKDUCHZUZA,26.0,176.0,female,1984-06-05
VVABREGWJX,25.0,188.0,female,1985-07-10
IXTPXWAHWB,29.0,169.0,female,1987-04-07
TGNUFBLRIO,21.0,154.0,female,1988-10-18
ERPEFWRBNO,20.0,175.0,male,1991-07-17
KWJJMPVSCP,24.0,189.0,,2000-08-22
VPWJIJGVER,65.0,198.0,female,1941-04-05
TGYWSCSHEK,25.0,169.0,male,1948-10-03
SYNYRIJFBQ,28.0,182.0,male,1949-04-29
EWPDAVBTZX,33.0,167.0,female,1950-09-01
IQTPIYNUXT,73.0,176.0,male,1953-03-20
VAOEFFXCEA,22.0,168.0,male,1953-08-19
QQDALKCTYW,50.0,189.0,male,1955-06-12
UALOMHYKSG,68.0,164.0,female,1956-08-18
LMZUTCGFYT,21.0,153.0,,1959-05-20
CGKETJOVHO,22.0,173.0,female,1961-07-04
WIOIXMXJQU,19.0,184.0,female,1964-08-18
NLDGDKCDLK,23.0,166.0,male,1966-01-12
VAFPNCYQRX,19.0,168.0,female,1970-11-12
NUEIOPQDFX,30.0,158.0,male,1973-02-18
BWHPJDAPKU,36.0,163.0,MALE,1976-08-31
KVIVHFNQTV,66.0,177.0,female,1977-02-17
ASDLHNBNCF,57.0,161.0,female,1978-07-13
QKHFORGRFA,23.0,170.0,female,1979-11-13
KMICXYYDHJ,26.0,165.0,female,1981-01-28
ZNLRYQHPXJ,25.0,155.0,male,1984-03-13
AGFHBQDTEG,27.0,192.0,female,1986-09-10
HYTVHSPPVG,23.0,184.0,female,1988-07-07
DSBFYTZEQN,31.0,173.0,male,1992-06-16
VYAQBLJKXJ,,165.0,male,1992-09-14
BLAKTCGBMO,32.0,195.0,female,1996-09-27
ZNLRYQHPXJ,25.0,155.0,male,1984-03-13
XUAJJPLVOI,18.0,168.0,female,1996-04-30
TRMMGYEEPC,21.0,156.0,female,1957-03-12
