date,France_GDP,Germany_GDP,Italy_GDP,Netherlands_GDP,Portugal_GDP,Spain_GDP,United_Kingdom_GDP
2008-10-01,493.281,628.861,400.146,162.086,44.569,275.445,396.017
2009-01-01,484.295,603.697,393.384,157.702,43.348,269.199,387.161
2009-04-01,482.656,606.937,392.226,154.86,43.686,267.165,388.507
2009-07-01,482.634,613.469,394.242,155.862,44.012,266.711,391.683
2009-10-01,487.782,619.632,396.363,156.404,44.371,266.248,389.769
2010-01-01,491.488,625.105,396.968,157.18,44.686,268.031,396.167
2010-04-01,495.975,635.649,401.223,159.588,44.737,267.355,402.86
2010-07-01,501.172,645.715,403.728,160.551,45.118,267.959,405.279
2010-10-01,505.306,652.397,407.67,161.519,45.07,269.364,407.889
2011-01-01,511.256,665.342,412.092,162.182,44.693,267.991,416.879
2011-04-01,511.914,668.461,412.964,162.135,44.238,267.784,413.451
2011-07-01,515.634,676.96,413.013,163.055,44.011,265.547,417.461
2011-10-01,518.469,678.934,411.252,162.702,43.154,262.441,421.718
2012-01-01,519.86,680.812,408.148,162.808,42.75,261.538,424.148
2012-04-01,521.187,683.996,406.654,163.255,41.964,258.877,426.054
2012-07-01,523.762,690.608,405.392,162.794,41.882,257.492,434.775
2012-10-01,523.814,691.144,404.17,163.777,41.699,253.192,436.378
2013-01-01,525.849,692.57,400.788,163.98,42.018,255.914,439.17
2013-04-01,530.194,702.126,402.983,164.941,42.377,255.183,443.633
2013-07-01,529.746,709.159,404.141,165.587,42.901,254.815,452.953
2013-10-01,533.622,712.098,404.552,165.914,43.197,254.436,457.399
2014-01-01,535.444,725.573,406.791,167.239,43.024,256.308,462.605
2014-04-01,535.798,729.512,406.242,166.718,43.081,256.98,466.628
2014-07-01,539.323,734.926,406.97,167.81,43.429,258.252,472.925
2014-10-01,541.426,741.939,408.363,169.74,43.52,260.618,474.004
2015-01-01,546.738,745.547,409.916,169.703,44.429,265.848,477.905
2015-04-01,548.295,754.177,412.207,172.271,44.791,268.181,484.417
2015-07-01,551.106,759.597,415.108,174.284,45.109,270.633,485.426
2015-10-01,553.476,764.08,417.104,173.814,45.384,272.928,487.464
2016-01-01,558.048,774.722,421.643,174.769,45.994,275.039,494.378
2016-04-01,555.711,780.808,422.703,175.931,46.216,276.76,502.284
2016-07-01,557.728,783.951,425.269,177.928,46.9,280.145,506.555
2016-10-01,561.348,789.817,426.981,179.601,47.378,281.896,513.421
2017-01-01,566.961,801.808,429.396,181.259,48.096,285.723,518.393
2017-04-01,572.785,813.477,433.299,183.932,48.739,289.461,521.074
2017-07-01,577.809,822.626,435.888,185.649,49.314,291.234,525.019
2017-10-01,581.944,833.164,439.956,187.846,49.797,295.449,532.657
2018-01-01,584.803,832.417,441.114,191.132,50.526,296.217,535.884
2018-04-01,588.556,843.433,443.378,192.141,51.058,299.384,540.904
2018-07-01,593.116,841.044,442.427,194.518,51.611,301.953,546.802
2018-10-01,598.064,853.359,444.414,196.493,51.989,305.705,550.79
2019-01-01,604.938,861.645,447.159,200.727,52.982,307.704,557.249
2019-04-01,610.762,866.494,449.117,202.191,53.22,309.942,561.476
2019-07-01,612.196,872.297,450.386,203.971,53.86,311.706,568.439
2019-10-01,612.163,878.931,449.862,206.108,54.312,315.023,568.119
2020-01-01,585.056,874.047,422.848,203.827,52.394,296.636,561.399
2020-04-01,525.71,800.501,374.319,187.828,45.295,245.851,488.065
2020-07-01,598.691,855.326,431.63,201.301,51.109,289.165,545.866
2020-10-01,600.247,868.383,426.866,203.479,51.29,290.296,555.051
2021-01-01,606.484,870.496,427.832,204.126,50.574,288.033,555.615
2021-04-01,615.817,889.747,440.686,212.287,52.311,292.513,575.389
2021-07-01,635.563,909.56,452.192,218.382,53.808,305.002,584.377
2021-10-01,640.959,922.713,453.054,221.357,54.586,319.515,601.673
2022-01-01,645.61,941.113,460.042,227.206,56.991,317.928,621.064
2022-04-01,651.09,953.71,,,,320.361,627.594
