id,g,exp,enr,ed,m,y_exp,t_job,cdi
8485,Male,False,Full time course,Graduate,STEM,8,2,0.7759999999999999
11982,Male,True,no_enrollment,Masters,STEM,16,never,0.897
28370,Male,True,no_enrollment,Graduate,STEM,>20,1,0.92
17047,,False,no_enrollment,,,>20,2,0.92
24941,,False,Full time course,Graduate,STEM,4,1,0.624
28936,Male,True,no_enrollment,Graduate,STEM,12,,0.698
9562,Male,True,no_enrollment,Graduate,STEM,>20,1,0.754
30061,Male,True,no_enrollment,Masters,STEM,3,1,0.91
2718,Male,True,no_enrollment,Graduate,STEM,5,1,0.55
24681,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
16210,Male,True,no_enrollment,Masters,STEM,10,1,0.754
1517,Male,False,Full time course,Graduate,STEM,8,1,0.92
29475,Male,False,Full time course,High School,,8,1,0.92
32233,,False,no_enrollment,Graduate,STEM,<1,never,0.55
26601,Male,True,no_enrollment,Graduate,Humanities,>20,1,0.91
22457,,True,,Graduate,STEM,4,1,0.624
30759,Male,False,no_enrollment,Graduate,Other,2,1,0.579
27417,Male,True,no_enrollment,Masters,STEM,>20,>4,0.92
18983,Male,False,Full time course,Graduate,STEM,3,1,0.91
32085,Male,True,no_enrollment,Graduate,STEM,9,2,0.92
13197,Female,True,no_enrollment,Graduate,STEM,>20,1,0.92
14026,,True,no_enrollment,Graduate,STEM,17,>4,0.92
19719,Male,True,no_enrollment,Graduate,STEM,6,2,0.624
30046,Male,True,Full time course,Masters,STEM,5,1,0.926
10446,,False,Full time course,High School,,1,1,0.55
5907,,True,no_enrollment,Graduate,STEM,3,1,0.6890000000000001
1392,,False,no_enrollment,Primary School,,1,never,0.92
10348,Male,False,no_enrollment,Graduate,STEM,18,>4,0.92
7957,,True,no_enrollment,Masters,STEM,15,1,0.698
19058,Male,False,no_enrollment,Masters,STEM,15,1,0.92
19243,,True,no_enrollment,Graduate,STEM,19,1,0.92
7770,,False,Full time course,Graduate,STEM,2,,0.92
15910,Male,True,no_enrollment,Graduate,STEM,15,1,0.925
30486,,False,Full time course,,,4,1,0.698
20333,Female,False,no_enrollment,Graduate,STEM,3,1,0.682
6816,,True,Full time course,Graduate,STEM,3,1,0.624
26209,Male,True,no_enrollment,Graduate,STEM,>20,1,0.91
10803,Male,True,no_enrollment,Phd,STEM,>20,4,0.926
26411,Male,False,no_enrollment,Phd,STEM,2,1,0.903
31555,Male,True,no_enrollment,Graduate,Business Degree,7,2,0.92
15564,Male,False,no_enrollment,Graduate,STEM,14,2,0.804
28764,Male,False,Full time course,High School,,1,never,0.624
14172,Male,True,Full time course,Graduate,Business Degree,>20,3,0.92
3068,Male,False,Full time course,Graduate,STEM,3,1,0.624
27164,Male,True,no_enrollment,Graduate,STEM,>20,1,0.91
20887,Male,True,no_enrollment,Masters,STEM,6,1,0.926
27102,Male,True,no_enrollment,Masters,No Major,8,1,0.897
14534,Male,True,Part time course,High School,,6,1,0.926
9021,,True,no_enrollment,Graduate,STEM,>20,>4,0.92
6527,,False,Full time course,Graduate,Other,13,1,0.738
7615,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
11392,Male,True,no_enrollment,Phd,STEM,7,2,0.92
33148,,False,no_enrollment,Masters,STEM,2,2,0.624
20910,Other,False,Full time course,Graduate,STEM,2,1,0.884
20269,Male,True,no_enrollment,Graduate,STEM,12,>4,0.91
23670,,False,Part time course,Graduate,STEM,2,1,0.92
19946,Female,True,no_enrollment,Masters,STEM,>20,>4,0.913
29652,,False,no_enrollment,Graduate,Business Degree,1,1,0.92
23770,Male,True,no_enrollment,Masters,STEM,11,2,0.74
24340,Male,True,no_enrollment,Masters,STEM,9,1,0.897
18737,Male,True,no_enrollment,,,4,1,0.926
24739,Female,True,no_enrollment,Graduate,STEM,10,>4,0.92
31072,Male,True,no_enrollment,Phd,STEM,>20,2,0.738
32629,Male,False,Full time course,Graduate,STEM,2,never,0.897
4184,Female,True,no_enrollment,High School,,4,never,0.926
19028,Male,False,no_enrollment,Masters,STEM,9,>4,0.887
12295,,False,no_enrollment,Primary School,,1,never,0.698
17898,Male,False,no_enrollment,Primary School,,1,never,0.887
25160,,True,Part time course,Masters,STEM,6,1,0.624
13000,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.91
8849,Male,True,no_enrollment,High School,,>20,1,0.899
4773,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
23867,Male,False,no_enrollment,Graduate,Humanities,20,4,0.926
25341,,True,Part time course,Graduate,STEM,12,1,0.926
1456,Male,True,no_enrollment,Graduate,STEM,15,4,0.92
22152,,True,Part time course,Masters,STEM,2,1,0.92
6560,Female,True,no_enrollment,Graduate,STEM,16,1,0.899
22829,,False,no_enrollment,Masters,STEM,>20,>4,0.848
4745,Male,True,no_enrollment,Graduate,STEM,5,1,0.92
22814,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
23233,Male,False,no_enrollment,High School,,<1,never,0.91
26370,Male,True,Part time course,Graduate,STEM,>20,1,0.754
12695,Male,True,no_enrollment,Masters,STEM,9,1,0.512
11888,Male,False,,Graduate,STEM,>20,1,0.91
319,Male,True,no_enrollment,Graduate,STEM,14,>4,0.92
2510,Female,True,Full time course,Graduate,STEM,1,never,0.624
5298,,True,no_enrollment,Graduate,STEM,10,1,0.924
18400,Male,True,Part time course,Masters,STEM,9,4,0.802
30849,Male,False,no_enrollment,Masters,STEM,3,1,0.624
31123,Male,True,no_enrollment,Graduate,Humanities,13,1,0.91
15829,Male,True,no_enrollment,Graduate,STEM,>20,2,0.92
15578,Male,True,no_enrollment,Graduate,No Major,14,>4,0.897
4037,Male,True,Full time course,Graduate,STEM,>20,>4,0.92
29658,Male,True,no_enrollment,Graduate,STEM,>20,2,0.91
10171,Male,True,no_enrollment,Masters,STEM,>20,>4,0.913
1937,Male,True,no_enrollment,Masters,STEM,>20,4,0.899
7376,Male,True,no_enrollment,Graduate,Other,8,2,0.939
25243,Male,True,no_enrollment,High School,,10,1,0.926
9234,,True,no_enrollment,Graduate,STEM,>20,3,0.913
8471,Male,True,no_enrollment,Graduate,STEM,7,2,0.926
5367,Female,True,no_enrollment,Graduate,STEM,3,2,0.92
5576,Male,True,no_enrollment,Graduate,STEM,5,2,0.939
5488,Male,True,no_enrollment,Graduate,STEM,19,1,0.92
18306,Male,True,no_enrollment,High School,,9,1,0.92
2063,,True,no_enrollment,Graduate,STEM,7,1,0.8959999999999999
14205,Male,True,no_enrollment,Graduate,STEM,7,2,0.92
16490,Male,True,no_enrollment,Graduate,STEM,8,1,0.855
10560,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.893
23064,Male,True,no_enrollment,Graduate,STEM,10,>4,0.92
32545,Male,True,no_enrollment,Masters,STEM,20,1,0.92
29833,Female,False,no_enrollment,Graduate,STEM,2,never,0.789
14200,Male,True,no_enrollment,Primary School,,>20,1,0.92
29830,Male,True,Part time course,Graduate,STEM,6,never,0.624
21423,,True,no_enrollment,Graduate,Other,1,,0.624
13869,Male,False,no_enrollment,Phd,STEM,>20,>4,0.926
28259,Male,True,no_enrollment,Graduate,STEM,13,2,0.926
9618,Female,True,no_enrollment,Graduate,Humanities,>20,>4,0.92
18209,Male,False,Full time course,High School,,<1,never,0.527
27437,Male,True,no_enrollment,Phd,Business Degree,20,1,0.83
17129,Male,False,Full time course,Masters,STEM,14,never,0.92
8349,Male,True,no_enrollment,Masters,STEM,18,4,0.743
6179,Male,True,no_enrollment,Graduate,STEM,10,2,0.91
28842,Male,False,Full time course,Graduate,STEM,7,1,0.897
26563,Male,True,no_enrollment,Graduate,STEM,9,2,0.8270000000000001
19256,Male,False,Full time course,Graduate,STEM,4,1,0.92
25579,Male,True,no_enrollment,Graduate,STEM,7,3,0.92
27521,Male,True,no_enrollment,Graduate,STEM,11,>4,0.92
31378,Male,True,no_enrollment,Masters,Business Degree,>20,>4,0.91
14870,Male,True,no_enrollment,Graduate,STEM,17,1,0.55
11929,Male,True,no_enrollment,Graduate,STEM,>20,2,0.92
14585,,True,no_enrollment,Graduate,STEM,2,never,0.624
32487,Male,True,no_enrollment,Graduate,STEM,11,1,0.624
15593,Male,True,no_enrollment,Graduate,STEM,14,1,0.698
13170,Male,True,no_enrollment,Masters,STEM,16,1,0.92
24544,Male,True,no_enrollment,Masters,STEM,>20,>4,0.926
11613,Male,True,no_enrollment,Masters,Business Degree,3,1,0.624
30221,,False,Part time course,Graduate,STEM,1,1,0.55
28251,Other,True,no_enrollment,Graduate,Humanities,3,1,0.903
4062,Male,True,Full time course,Masters,STEM,10,4,0.893
29018,Male,True,no_enrollment,Graduate,STEM,13,>4,0.804
26433,,True,Part time course,Graduate,STEM,9,1,0.855
5489,Male,True,no_enrollment,Graduate,No Major,15,>4,0.8959999999999999
19459,Male,True,no_enrollment,Graduate,STEM,>20,2,0.92
6017,Male,False,Full time course,Graduate,STEM,5,never,0.743
24261,Male,True,no_enrollment,Graduate,STEM,3,1,0.624
16705,Male,True,no_enrollment,Graduate,STEM,6,2,0.804
16540,Male,True,no_enrollment,Masters,STEM,16,1,0.624
7508,Male,True,no_enrollment,Graduate,STEM,>20,4,0.92
32650,Male,False,no_enrollment,Graduate,Humanities,3,1,0.878
21381,,True,no_enrollment,Masters,STEM,5,2,0.624
9487,Male,False,Full time course,Graduate,STEM,5,never,0.624
9040,Male,False,no_enrollment,Graduate,STEM,3,2,0.802
12854,Male,True,no_enrollment,Graduate,STEM,8,2,0.926
32495,Male,False,no_enrollment,Graduate,Other,>20,1,0.6659999999999999
1622,Other,False,Full time course,Graduate,STEM,9,never,0.6659999999999999
