ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Cannabis
98,45-54,F,Masters degree,UK,White,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.84637,True
99,35-44,M,Doctorate degree,Canada,White,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.2247,True
100,25-34,F,University degree,UK,White,-0.67825,3.00537,0.7233,0.94156,1.63088,0.52975,0.40148,False
101,25-34,M,Masters degree,Other,White,-1.05308,2.57309,0.58331,-1.47955,-0.40581,-0.21712,1.2247,False
102,45-54,F,Left school at 16 years,Australia,White,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637,True
103,45-54,M,Left school at 18 years,UK,White,-0.58016,1.2861,1.43533,-1.34289,-0.00665,-0.71126,1.2247,True
104,45-54,F,Professional certificate/ diploma,Canada,White,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654,True
105,25-34,F,"Some college or university, no certificate or degree",Canada,White,-0.92104,0.16767,-0.17779,1.11406,0.58489,-0.71126,0.07987,False
106,35-44,M,Professional certificate/ diploma,UK,White,-2.21844,0.47617,-1.82919,-0.76096,2.04506,-1.37983,-1.54858,True
107,25-34,F,"Some college or university, no certificate or degree",UK,White,1.02119,-0.30033,-1.82919,0.28783,-0.40581,-1.37983,-0.84637,True
108,35-44,F,Left school at 16 years,UK,White,0.13606,0.00332,-1.27553,-0.76096,0.58489,0.52975,-0.21575,True
109,25-34,F,University degree,UK,White,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,False
110,45-54,F,"Some college or university, no certificate or degree",UK,White,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,-0.71126,0.07987,True
111,45-54,M,Masters degree,UK,Asian,-0.14882,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,True
112,25-34,M,Masters degree,UK,White,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,0.19268,0.40148,False
113,25-34,F,University degree,UK,White,-1.1943,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575,True
114,45-54,F,Professional certificate/ diploma,UK,White,0.04257,0.63779,0.29338,0.13136,0.7583,0.19268,-0.21575,True
115,35-44,M,"Some college or university, no certificate or degree",UK,White,-2.3436,1.93886,1.43533,-0.76096,-1.38502,1.86203,1.2247,False
116,25-34,F,Professional certificate/ diploma,Canada,White,0.22393,-0.57545,-0.84732,0.28783,1.13407,-1.37983,-2.07848,True
117,35-44,M,Professional certificate/ diploma,Canada,White,0.62967,-0.57545,0.14143,-1.772,-0.40581,0.52975,-0.21575,True
118,25-34,F,University degree,UK,White,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148,True
119,35-44,F,"Some college or university, no certificate or degree",USA,White,1.8399,-1.92173,-2.39883,1.11406,0.25953,-0.21712,-1.54858,True
120,35-44,F,University degree,UK,White,-0.34799,0.63779,-0.97631,0.28783,1.46191,-0.21712,-0.84637,True
121,25-34,F,Masters degree,UK,White,-1.05308,0.63779,-0.97631,-1.07533,0.7583,0.19268,1.92173,True
122,35-44,F,Professional certificate/ diploma,UK,White,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987,True
123,55-64,M,Masters degree,UK,White,0.22393,0.16767,-0.17779,-0.30172,-0.89891,-0.21712,-0.52593,True
124,25-34,F,University degree,UK,White,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987,False
125,45-54,M,Left school at 16 years,UK,White,-0.34799,1.93886,0.29338,0.43852,0.58489,-0.21712,-0.21575,True
126,55-64,M,University degree,UK,White,-0.46725,1.2861,0.44585,0.13136,1.13407,0.52975,0.40148,True
127,45-54,M,University degree,UK,White,-1.1943,0.63779,-1.11902,-0.45321,-0.00665,-0.21712,-0.84637,True
128,45-54,F,Left school at 17 years,UK,White,-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848,True
129,35-44,M,Doctorate degree,UK,Asian,0.04257,0.63779,0.14143,0.13136,0.25953,-0.21712,-1.18084,True
130,45-54,F,Masters degree,UK,White,-0.79151,0.96248,-1.11902,0.94156,0.41594,0.19268,0.40148,True
131,45-54,F,Left school at 16 years,UK,White,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,True
132,45-54,F,Left school at 16 years,UK,Other,-1.55078,-0.15487,-1.27553,2.46262,0.58489,-1.37983,-2.07848,True
133,35-44,F,Left school at 18 years,Republic of Ireland,White,-0.24649,-0.57545,-0.58331,-0.15487,0.25953,-1.37983,-1.54858,True
134,35-44,M,Masters degree,UK,White,-0.05188,0.16767,0.29338,-0.15487,0.12331,0.52975,0.40148,True
135,25-34,F,Masters degree,UK,Mixed-White/Asian,3.27393,-1.50796,-0.31776,0.59042,-0.65253,-1.37983,0.40148,True
136,35-44,F,Left school at 16 years,UK,White,-1.69163,1.58487,-0.58331,1.81866,1.63088,0.52975,-0.52593,True
137,45-54,F,University degree,UK,White,-0.14882,-0.30033,-1.68062,1.81866,1.63088,1.29221,0.07987,True
138,45-54,F,University degree,UK,White,-1.1943,1.58487,0.29338,0.76096,0.41594,-2.55524,-1.18084,True
139,55-64,M,University degree,UK,White,-0.46725,-0.80615,0.14143,0.28783,0.93949,-1.37983,-1.18084,True
140,45-54,M,Left school at 16 years,UK,White,-0.05188,0.32197,-0.58331,0.94156,-0.27607,-0.21712,-0.21575,True
141,25-34,F,University degree,UK,Asian,1.98437,0.32197,1.43533,0.94156,-0.27607,-0.71126,-0.21575,True
142,35-44,F,Left school at 16 years,UK,White,-0.79151,0.63779,-1.11902,1.2861,0.58489,-1.37983,-2.07848,True
143,35-44,M,Left school at 17 years,UK,White,-0.46725,-0.30033,-1.27553,0.28783,-0.14277,0.52975,0.40148,True
144,35-44,M,Professional certificate/ diploma,UK,Black,-1.69163,1.2861,-0.58331,1.2861,2.04506,-0.71126,-0.52593,True
145,45-54,M,Professional certificate/ diploma,Canada,White,0.13606,-1.09207,-0.45174,-1.21213,-0.00665,-0.21712,0.7654,False
146,45-54,F,University degree,UK,White,-0.46725,0.16767,-1.11902,2.23427,0.7583,1.29221,0.40148,True
147,55-64,M,Professional certificate/ diploma,UK,White,0.22393,-1.23177,-0.17779,-0.45321,-0.27607,0.19268,-1.18084,True
148,35-44,M,Masters degree,UK,Black,-0.58016,0.47617,-0.71727,0.13136,0.93949,-0.21712,-0.52593,True
149,35-44,F,Professional certificate/ diploma,UK,White,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,-1.37983,-1.54858,True
150,45-54,F,University degree,UK,White,-0.79151,1.93886,-0.71727,2.03972,1.63088,-0.21712,-1.18084,True
151,35-44,F,"Some college or university, no certificate or degree",UK,White,-0.24649,1.2861,0.14143,0.59042,1.13407,0.19268,0.07987,True
152,35-44,F,University degree,UK,White,0.52135,-1.6334,-1.82919,0.43852,-0.89891,-0.71126,-0.84637,True
153,25-34,F,University degree,UK,White,-0.46725,-1.50796,-0.71727,-0.60633,-0.65253,-2.55524,-1.54858,True
154,25-34,M,University degree,UK,White,-0.67825,0.96248,-1.68062,0.76096,0.7583,-0.21712,-0.52593,True
155,18-24,F,"Some college or university, no certificate or degree",UK,White,2.82196,-1.37639,0.7233,-0.45321,0.58489,-0.21712,0.7654,True
156,35-44,F,University degree,UK,Black,0.62967,-1.37639,-1.27553,0.28783,-0.27607,-0.71126,-0.84637,True
157,35-44,F,"Some college or university, no certificate or degree",UK,White,1.23461,0.00332,-0.31776,1.11406,0.12331,0.19268,-0.52593,True
158,25-34,M,Left school at 16 years,UK,White,-1.05308,1.11406,-1.82919,-0.45321,0.7583,-0.21712,0.7654,True
159,35-44,F,University degree,Australia,White,-0.24649,0.16767,-0.31776,-0.30172,0.41594,0.88113,1.2247,True
160,45-54,F,"Some college or university, no certificate or degree",UK,Black,-0.46725,-0.57545,-0.58331,0.13136,0.25953,-0.21712,-1.18084,True
161,45-54,M,Masters degree,Other,White,1.02119,0.80523,0.44585,-0.15487,0.25953,-0.21712,0.40148,False
162,35-44,M,University degree,UK,Black,-0.67825,0.32197,-0.84732,1.81866,-0.40581,-0.71126,-1.18084,True
163,25-34,F,University degree,New Zealand,White,0.22393,0.00332,-0.17779,1.61108,0.93949,-1.37983,-0.21575,True
164,25-34,F,"Some college or university, no certificate or degree",UK,White,1.8399,0.00332,-0.31776,0.94156,0.12331,-0.21712,-0.84637,True
165,25-34,F,Doctorate degree,UK,White,0.13606,0.32197,-1.55521,1.45039,1.13407,-1.37983,-0.52593,True
166,45-54,M,Masters degree,UK,White,-0.24649,-0.30033,-0.31776,-0.45321,1.63088,-1.37983,-0.84637,True
167,18-24,M,"Some college or university, no certificate or degree",UK,White,1.49158,-1.23177,0.7233,-2.35413,-1.92173,0.88113,0.07987,False
168,25-34,F,Professional certificate/ diploma,UK,Black,0.04257,0.00332,-0.97631,-0.45321,0.93949,0.52975,-0.52593,True
169,25-34,F,University degree,UK,White,0.22393,1.2861,-1.27553,-0.30172,-1.13788,0.52975,0.40148,True
170,18-24,F,Left school at 18 years,UK,White,-0.34799,0.00332,-1.42424,0.59042,-0.14277,-0.71126,0.40148,True
171,45-54,M,Left school at 16 years,UK,White,1.37297,-0.30033,-0.31776,0.13136,-0.14277,0.88113,0.40148,True
172,35-44,M,Masters degree,UK,White,-0.34799,0.96248,2.15324,0.76096,-0.78155,1.29221,1.92173,True
173,45-54,F,Professional certificate/ diploma,UK,White,0.52135,-0.57545,-0.45174,-0.45321,0.7583,0.19268,-1.18084,True
174,35-44,F,University degree,UK,White,1.02119,0.63779,1.24033,0.13136,0.25953,0.52975,0.40148,True
175,35-44,F,Professional certificate/ diploma,UK,White,1.02119,-0.57545,-2.21069,0.76096,-1.5184,0.88113,0.07987,True
176,55-64,F,University degree,UK,White,0.62967,0.00332,0.44585,1.2861,0.12331,0.19268,0.07987,True
177,35-44,F,University degree,UK,Other,-0.14882,-0.57545,-0.84732,-1.21213,-0.52745,-1.37983,-1.18084,True
178,35-44,F,University degree,UK,White,1.49158,0.00332,-1.27553,-0.91699,1.13407,-0.71126,-0.52593,True
179,45-54,F,University degree,UK,White,0.82562,-0.94779,-0.45174,0.76096,-0.14277,0.19268,-0.21575,True
180,35-44,F,Professional certificate/ diploma,UK,White,0.41667,-0.15487,-0.97631,1.11406,-0.65253,-1.37983,-1.18084,True
181,45-54,F,Professional certificate/ diploma,UK,White,0.31287,0.63779,-1.55521,0.28783,0.93949,0.19268,0.07987,True
182,25-34,M,Doctorate degree,UK,White,-1.32828,-0.43999,-0.31776,0.59042,0.93949,-0.71126,-1.18084,True
183,35-44,F,"Some college or university, no certificate or degree",UK,White,0.31287,0.80523,-0.31776,1.2861,0.7583,-1.37983,-1.18084,True
184,18-24,F,University degree,UK,White,1.98437,-0.43999,0.29338,-0.76096,0.93949,-0.71126,0.40148,True
185,55-64,M,Left school at 18 years,UK,White,0.04257,-0.80615,-0.97631,0.59042,0.25953,-1.37983,-1.18084,True
186,35-44,F,University degree,Canada,White,0.31287,0.63779,-0.01928,0.76096,-0.14277,-0.21712,-0.52593,False
187,35-44,F,Masters degree,UK,White,-0.67825,1.45421,0.14143,0.28783,1.81175,-1.37983,-1.54858,True
188,55-64,F,Left school at 16 years,UK,White,-0.79151,-0.80615,-1.97495,1.11406,0.58489,-1.37983,-1.54858,True
189,45-54,F,Left school at 16 years,UK,White,0.41667,-1.37639,-2.09015,0.59042,-0.27607,-1.37983,-2.07848,True
190,18-24,F,Masters degree,UK,White,-0.34799,0.00332,-0.45174,0.13136,0.7583,-0.71126,-0.84637,True
191,55-64,F,Professional certificate/ diploma,UK,White,-1.43907,0.00332,-0.84732,0.59042,-0.27607,-0.71126,-1.54858,True
192,18-24,M,University degree,UK,Mixed-White/Asian,-0.34799,1.2861,-1.11902,0.59042,-0.52745,0.52975,0.07987,True
193,25-34,F,Professional certificate/ diploma,Canada,White,-0.79151,-0.30033,-0.17779,0.28783,-0.52745,0.88113,0.07987,False
194,45-54,F,University degree,UK,White,0.31287,-1.09207,-0.45174,0.13136,0.12331,-1.37983,0.07987,True
195,25-34,F,University degree,Canada,Mixed-White/Asian,-0.92104,1.2861,-0.01928,-0.01729,0.41594,-0.71126,-1.18084,True
196,55-64,F,University degree,UK,White,0.62967,0.32197,0.7233,-0.30172,0.93949,0.52975,0.07987,True
197,18-24,M,University degree,UK,Black,-0.58016,0.32197,-0.58331,1.2861,-0.89891,0.19268,-1.18084,True
198,55-64,F,University degree,UK,White,-0.34799,0.47617,-0.71727,-0.91699,-0.52745,-0.71126,-0.84637,True
199,25-34,F,Professional certificate/ diploma,UK,White,-0.05188,0.47617,0.58331,0.76096,-0.00665,1.86203,1.2247,False
200,45-54,F,Professional certificate/ diploma,UK,White,-0.46725,2.32338,0.7233,1.81866,1.30612,0.52975,0.07987,False
201,18-24,F,University degree,UK,White,-0.58016,0.16767,-0.84732,1.11406,1.46191,0.52975,1.2247,True
202,35-44,M,Masters degree,UK,Other,-0.14882,-0.94779,-0.58331,-1.34289,1.30612,-0.71126,-0.84637,True
203,35-44,F,University degree,UK,White,-0.67825,1.2861,-0.45174,0.94156,1.13407,0.19268,-0.84637,True
204,65+,M,Left school before 16 years,UK,White,-1.55078,-1.09207,-2.39883,-0.91699,-0.65253,-1.37983,-2.07848,True
205,25-34,F,University degree,UK,White,-0.14882,0.96248,1.24033,-0.01729,0.25953,-0.21712,0.40148,True
206,35-44,F,Left school at 16 years,UK,White,-0.14882,1.11406,0.29338,-0.91699,-1.0145,1.86203,0.40148,True
207,18-24,F,University degree,UK,White,-0.05188,1.2861,0.58331,0.13136,0.41594,0.88113,0.07987,True
208,35-44,F,Professional certificate/ diploma,UK,White,-0.67825,0.47617,-0.58331,0.59042,-0.14277,-0.21712,0.40148,False
209,35-44,F,University degree,UK,White,0.13606,0.00332,-0.17779,-0.30172,-0.00665,0.52975,1.2247,False
210,25-34,M,Masters degree,UK,Asian,-1.43907,0.47617,1.06238,-0.45321,1.13407,-1.37983,-0.84637,True
211,25-34,F,"Some college or university, no certificate or degree",UK,White,0.73545,0.16767,-1.42424,-0.01729,-1.25773,1.86203,0.7654,True
212,45-54,F,Left school at 16 years,UK,White,-0.67825,-0.57545,-1.11902,1.11406,0.93949,-1.37983,-2.07848,True
213,25-34,F,Professional certificate/ diploma,UK,White,0.13606,0.63779,-0.84732,1.81866,0.58489,-0.21712,-1.18084,True
214,45-54,F,Professional certificate/ diploma,Republic of Ireland,White,0.52135,-0.15487,-1.27553,0.94156,0.12331,-1.37983,-1.54858,True
215,25-34,F,Professional certificate/ diploma,UK,White,-0.14882,1.11406,0.44585,1.2861,1.30612,0.19268,1.2247,True
216,25-34,F,University degree,Canada,White,1.60383,-0.30033,-0.71727,1.11406,-0.40581,0.19268,0.07987,False
217,25-34,F,Professional certificate/ diploma,UK,White,0.22393,1.11406,0.29338,1.45039,-0.00665,0.88113,0.7654,True
218,35-44,M,Professional certificate/ diploma,UK,White,1.23461,0.80523,0.44585,1.45039,-1.64101,1.86203,0.7654,True
219,25-34,F,Masters degree,Other,White,0.31287,1.11406,-0.84732,-1.07533,0.7583,-0.21712,-0.52593,False
220,35-44,F,"Some college or university, no certificate or degree",UK,White,-0.34799,-0.57545,0.14143,1.11406,0.25953,-1.37983,-0.84637,True
221,18-24,F,University degree,UK,White,0.82562,-0.30033,0.29338,-0.01729,0.12331,0.19268,0.07987,False
222,25-34,F,University degree,UK,White,-0.14882,0.47617,-0.45174,-0.76096,0.93949,0.52975,-0.52593,True
223,35-44,F,University degree,UK,White,-0.24649,0.63779,0.7233,1.11406,0.25953,1.29221,1.2247,True
